Track,Content Pillar,Post Idea / Hook,LinkedIn Variation,Instagram Variation,Email / Nurture Reuse,Facebook / Community Reuse,Source Material,Status
Design-Led: Practitioner,Skill tagged by dread not love,"""The skill everyone asks you for and you quietly dread doing.""","New post — reframe the capability/enjoyment split from the diagnostic teardown into original phrasing.","Stories poll sticker: ""Love it / Fine / Dread it"" — link through to feed post.",Email 2 candidate once diagnostic sequence exists.,Skip,Diagnostic_Tool_Build_Notes.md,Idea
Design-Led: Practitioner,Diagnostic teaser,"""Building a short diagnostic for designers who've stopped being asked for their strategic opinion.""","New 'building in public' post, links to coming-soon capture.","Story countdown / ""coming soon"" sticker.","This is the holding email, already written — reuse/expand for LinkedIn.",Skip,Kit_Email_Content_Strategy.md (holding email),Idea — email copy exists as seed
Come Home to Yourself,Origin Story (Module 1),"""The life brief you never signed but have been living by.""","Optional, softened heavily — D2M skews Instagram/community/email over LinkedIn.","Carousel: ""write the brief you've been unconsciously following"" prompt straight from the workbook, warm-sand background.",Adapt for the Email 4 POV piece in the Come Home to Yourself sequence.,"""Who taught you what a good life was supposed to look like?"" — library-series style post.",Come_Home_to_Yourself_Sales_Page_DRAFT.md; STYLE_GUIDE.md §08,Idea
Come Home to Yourself,Energy & Capacity (Module 4),"""You don't have a time problem. You have an energy leak.""","Optional, softer register.","Carousel with a simple energy-leak visual (funnel metaphor); caption invites self-audit.",Fits Email 2 ('go one layer deeper').,"Practical, relatable community post.",Come_Home_to_Yourself_Sales_Page_DRAFT.md,Idea
Come Home to Yourself,Future Self (Module 6),"""Write a letter from twelve months from now.""",Skip.,"Prompt-card carousel, direct workbook-style prompt.",Email 4 or standalone nurture send.,Good tie-in for an in-person workshop or library-series promo.,Come_Home_to_Yourself_Sales_Page_DRAFT.md,Idea
Come Home to Yourself,Boundaries & Emotional Labour (Module 9),"""The sentence you know you should say, and don't.""",Skip.,"Caption-led — ""scripts you can actually say"" ties to the permission-giving copy pattern in the diagnostic notes.",Email 3 ('name the pattern').,High-relatability community post.,Come_Home_to_Yourself_Sales_Page_DRAFT.md; Diagnostic_Tool_Build_Notes.md,Idea
Come Home to Yourself,Ambition & Desire (Module 11),"""The desire you've been quietly editing out of your own story.""",Skip.,Carousel.,Email 4 POV piece.,Community post.,Come_Home_to_Yourself_Sales_Page_DRAFT.md,Idea
Come Home to Yourself,Objection: 'I like my life',"""This isn't a demolition. It's less, but better.""",Skip.,"Caption-led reassurance post — good for retargeting a warm audience.",Reuse verbatim from the sales page Q+A section.,"Reduces signup friction for the library-series audience.",Come_Home_to_Yourself_Sales_Page_DRAFT.md (Q+A),"Idea — copy exists, needs reformatting only"
Regional Business Leader,Metro playbook mismatch,"""The metro playbook was never built for a business like yours.""","New post, regional-business-owner register — more direct than D2M, less sharp than Design-Led.","Local-flavoured graphic; could tie to Maffra imagery.",Already the Email 3 topic — reuse/expand into a standalone post.,"Strong fit — regional Facebook groups are likely the primary channel here.",Kit_Email_Content_Strategy.md,Idea — email copy exists as seed
Regional Business Leader,Business Why as compass not contract,"""A compass for the business, not a contract.""",Optional.,Caption-led.,"Email 1, already drafted.","Strong fit — reassurance framing for Maffra attendees.",Kit_Email_Content_Strategy.md (Email 1),Drafted (email) — adapt for social
Regional Business Leader,Busy vs progress,"""Running on pressure instead of purpose. Busy isn't the same as progress.""",Optional.,Quote-card.,"Email 3, already drafted.",Strong fit.,Kit_Email_Content_Strategy.md (Email 3),Drafted (email) — adapt for social
Regional Business Leader,Maffra Day announcement,"""A day in Maffra, built on the Why Workshop you just did.""",Skip.,Event-style post / story countdown.,"Email 5, already drafted.",Primary channel — local event page + community groups.,Kit_Email_Content_Strategy.md (Email 5),Drafted (email) — needs date/venue before adapting
Cross-program / Brand,"'Draft, not destination' philosophy","""It's a draft, not a destination. A compass, not a contract.""","New anchor/evergreen post explaining the philosophy across all tracks — good pinned-post candidate.","Carousel — could become a recurring visual motif / Highlights cover.","Already reused across the Come Home to Yourself and Regional Business Leader Email 1s.",Works across both community-facing tracks.,Come_Home_to_Yourself_Sales_Page_DRAFT.md; Kit_Email_Content_Strategy.md,"Idea — line exists, standalone post doesn't"
Cross-program / Brand,Track-specific bio / credibility framing,"""Local design leader, 20 years, helping people work out what's actually next.""","Enterprise-register variant — lead with design-leadership credibility, per Promotions Reference guidance.","Community-register variant — all three certifications included.",N/A — use in email signature / about page.,Community-register variant.,Frankly_Human_Promotions_Reference.md,Bio finalized — channel-specific variants still needed
