"value,metaphor_family,visual_description,notes"
"Imagination,PM,ink cloud,creative expansion"
"Independence,GS,solitary shape,self‑standing"
"Inspiration,EM,small spark,ignition"
"Innovation,GS,broken grid,new pattern"
"Intelligence,GS,intersecting lines,thoughtfulness"
"Inventiveness,GS,unexpected geometry,novelty"
"Intuition,OF,inner spiral,inner knowing"
"Joy,PM,bright dot cluster,delight"
"Justice,GS,balanced geometry,fairness"
"Kindness,OF,soft curve,gentle gesture"
"Knowledge,GS,layered lines,accumulated learning"
"Leadership,GS,leading triangle,forward direction"
"Learning,GS,stepped lines,progress"
"Legacy,OF,ring echo,lasting impact"
"Leisure,OF,soft cloud,rest"
"Love,OF,intertwined curves,connection"
"Loyalty,GS,linked shapes,commitment"
"Mastery,GS,refined linework,skill"
"Maturity,OF,rounded form,settledness"
"Mindfulness,OF,still circle,presence"
"Motivation,EM,forward arc,pull"
"Open‑mindedness,OF,open spiral,possibility"
"Openness,OF,wide arc,receptivity"
"Optimism,OF,rising curve,hope"
"Order,GS,tidy grid,structure"
"Originality,PM,unique brush mark,distinctiveness"
"Passion,EM,flame arc,fire"
"Patience,OF,slow wave,time"
"Perfection,GS,precise circle,ideal form"
"Perseverance,EM,repeat stroke,endurance"
"Persuasiveness,GS,converging lines,influence"
"Playfulness,PM,loose squiggle,fun"
"Power,EM,strong diagonal,force"
"Pragmatism,GS,practical block,utility"
"Pride,GS,tall column,standing tall"
"Privacy,GS,closed shape,boundary"
"Proactivity,EM,first mark,initiative"
"Professionalism,GS,clean geometry,polish"
"Purposefulness,GS,arrow shape,intention"
"Recognition,EM,spotlight arc,being seen"
"Reflection,OF,mirrored curve,introspection"
"Reliability,GS,steady bars,dependability"
"Resilience,OF,bent‑not‑broken curve,strength"
"Resourcefulness,OF,branching lines,creative solutions"
"Respect,OF,parallel curves,honouring space"
"Responsibility,GS,solid square,ownership"
"Risk Taking,EM,angled slash,bold move"
"Sacrifice,OF,empty bowl,giving up"
"Safety,GS,rounded shield,protection"
"Security,GS,solid block,stability"
"Self‑control,GS,contained line,restraint"
"Self‑discipline,GS,repeat marks,habit"
"Self‑reliance,GS,solo pillar,self‑support"
"Self‑respect,GS,clean upright form,dignity"
"Serenity,OF,still water line,peace"
"Service,OF,open hands shape,giving"
"Sharing,OF,overlapping arcs,exchange"
"Simplicity,GS,minimal shape,clarity"
"Speed,EM,fast streak,quickness"
"Spirituality,OF,ascending spiral,connection"
"Spontaneity,EM,loose flick,impulse"
"Stability,GS,stacked rectangles,foundation"
"Status,GS,raised bar,position"
"Strength,GS,strong block,power"
"Success,EM,upward flare,achievement"
"Sustainability,OF,looping cycle,continuity"
"Teamwork,GS,interlocking shapes,collaboration"
"Time,GS,clock‑like circle,finite resource"
"Tradition,OF,layered rings,heritage"
"Transcendence,OF,open vertical arc,beyond self"
"Travel,OF,winding line,journey"
"Trust,OF,linked curves,confidence"
"Uniqueness,PM,distinct mark,individuality"
"Variety,OF,mixed shapes,diversity"
"Vision,GS,forward triangle,future"
"Vulnerability,PM,soft smudge,exposure"
"Vitality,EM,bright flare,aliveness"
"Warmth,PM,soft glow,comfort"
"Wealth,GS,stacked bars,resources"
"Wellbeing,OF,balanced leaf,wholeness"
"Wholeheartedness,PM,full brush stroke,all‑in energy"
"Wonder,OF,open starburst (gentle),awe"
